0,1,2,3,4,5,6,7,label
1360.0,1045.5,1056.25,1692.0,1267.5,13.599999904633,48.875000953674,0.75775382512936,11.8817234886803
1292.25,954.75,1173.75,1558.75,972.25,13.299999952316,47.699999809265,0.725487449242467,9.3971648895816
1402.0,939.25,1140.0,1554.5,1074.0,11.900000095367,53.97500038147,0.750239067398195,8.99781687132679
1375.5,948.25,1092.0,1583.75,1203.25,11.0,60.0,0.786712533085925,9.22879642140727
1272.25,835.5,1205.0,1490.0,1110.0,11.150000095367,59.575000762939,0.788794231866759,6.51822366907414
1197.0,750.25,1336.5,1393.0,949.25,11.175000190735,59.175000190735,0.784771664339744,4.74101236247874
1185.0,689.5,1461.75,1332.75,732.5,11.324999809265,56.77499961853,0.760311939284328,3.62439918979751
1136.25,672.0,1453.25,1332.75,729.5,10.674999952316,60.0,0.770238457823045,3.32667699166079
1094.0,608.5,1579.0,1276.0,619.5,10.650000095367,59.674999237061,0.76481872568612,2.3394161950867
1009.75,560.75,1705.0,1234.75,501.25,10.250000238419,60.200000762939,0.751657164830689,1.69665825765132
1011.0,526.75,1817.5,1196.75,445.25,10.075000047684,60.474999427795,0.746494516129246,1.29361975737209
1066.0,512.0,1918.0,1182.0,421.75,10.999999761581,56.175000190735,0.736559600180639,1.13343057118785
1051.75,553.25,1738.25,1221.25,471.5,10.450000047684,58.125,0.735295083024728,1.6037678797288
1144.0,667.0,1489.75,1339.0,729.75,10.200000047684,59.599999427795,0.741736162856327,3.24361814731007
1333.25,899.75,1136.0,1517.0,1101.5,10.75,57.425000190735,0.740794575739976,8.01377298709061
1351.0,960.25,1079.0,1582.75,1027.75,10.5,60.599998474121,0.769110792757908,9.54064292532022
1233.25,827.25,1218.0,1445.75,859.75,10.799999952316,58.35000038147,0.75518308265229,6.33578243722281
1178.75,762.0,1327.5,1361.75,670.5,10.499999761581,57.925000190735,0.735160779631515,4.97158376146256
1236.0,774.25,1301.25,1401.25,664.0,9.5249998569489,66.774998664856,0.795053788514203,5.21691899988496
1285.5,868.5,1162.25,1536.75,799.0,8.299999833107,76.425001144409,0.839268067750277,7.26993335753569
1371.0,1033.5,983.25,1730.25,1036.5,8.0,81.14999961853,0.873588533618542,11.5390072135637
1310.0,932.5,1081.75,1646.5,946.25,8.325000166893,79.799999237061,0.877784445098044,8.82622272645721
1291.75,911.5,1102.5,1590.75,956.75,9.7000000476837,71.150001525879,0.856938127943631,8.30141341676181
1383.0,1019.75,1008.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.818501207475343,11.1515812161294
1580.75,1318.5,798.5,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666,20.7992168614605
1775.5,1487.75,702.25,2332.5,1704.0,9.6500000953674,69.300001144409,0.831921144410087,27.3598074935867
1640.0,1404.0,742.75,2191.25,1653.75,9.6499998569489,67.75,0.813313935362591,24.0177569359492
1312.75,1076.25,957.25,1706.5,1284.75,9.125,63.974999427795,0.74192422448925,12.7793682487581
964.5,748.5,1325.25,1332.5,821.0,8.1750001907349,63.39999961853,0.690484446641439,4.70707191924475
912.75,629.25,1564.5,1252.25,551.75,8.2499998807907,60.824998855591,0.66574436040631,2.64572150961058
1080.25,805.0,1253.5,1375.0,815.5,8.3250002861023,58.525000572205,0.643763609633057,5.85480151426304
1043.75,829.0,1247.25,1378.25,831.5,7.7250001430511,59.674999237061,0.630766060273863,6.37429750967153
987.75,718.0,1395.5,1303.5,691.5,7.125,61.799999237061,0.62759736878688,4.13234179510346
888.75,574.25,1680.25,1187.0,512.0,6.9750000238419,62.27499961853,0.626107527809789,1.86944463513702
